,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
10,10,10,cod liver oil,621.9,69.098,14.925,55.417,17.689,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.875,0.005,0.065,0.004,0.0,0.004,0.001,0.0,0.01,0.0,0.0,0.0
11,11,11,olive oil light,785.4,87.263,13.788,28.011,32.113,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.905,0.024,0.068,0.0,0.002,0.004,0.0,0.0,0.009,0.003,0.002,0.0
12,12,12,peanut oil roasted,834.8,92.76,13.728,40.907,44.803,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.424,0.005,1.305,0.009,0.002,0.007,0.005,0.0,0.002,0.002,0.0,0.0
13,13,13,maize germ oil,847.9,94.207,19.312,4.71,18.653,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,7.752,0.64,0.071,0.008,0.006,0.006,0.004,0.004,0.0,0.0,0.0,0.0
14,14,14,schmaltz chicken,767.3,85.252,13.385,26.513,19.096,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,13.673,0.013,0.084,0.0,0.011,0.0,0.004,0.002,0.0,0.001,0.001,0.0
15,15,15,macadamia oil,719.0,79.888,16.297,35.63,15.259,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022,0.01,0.116,0.002,0.0,0.0,0.029,0.062,0.001,0.002,0.0,0.0
16,16,16,olive oil extra virgin,763.8,84.867,17.822,44.301,43.622,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,26.251,0.015,0.181,0.011,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0
17,17,17,walnut oil cold pressed,662.0,73.551,11.327,43.689,13.092,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.651,0.05,0.064,0.002,0.003,0.0,0.0,0.001,0.0,0.001,0.001,0.0
18,18,18,pecan oil,900.0,100.0,7.4,51.6,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,41.059,0.011,0.264,0.001,0.001,0.0,0.0,0.001,0.009,0.0,0.0,0.0
19,19,19,soybean oil refined,593.4,65.937,15.693,25.979,30.001,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.72,0.207,0.664,0.002,0.001,0.063,0.0,0.0,0.0,0.0,0.013,0.0
20,20,20,pecan oil regular,900.0,100.0,7.7,45.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,5.836,0.081,0.018,0.0,0.0,0.003,0.001,0.004,0.001,0.001,0.0,0.0
21,21,21,rice oil,900.0,100.0,27.7,41.8,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124,0.026,0.324,0.001,0.003,0.001,0.0,0.0,0.004,0.0,0.005,0.0
22,22,22,schmaltz chicken herbed,900.0,100.0,32.2,70.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.215,0.065,0.143,0.0,0.0,0.0,0.005,0.0,0.006,0.002,0.003,0.0
23,23,23,lard leaf,900.0,100.0,24.5,52.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.753,0.043,0.06,0.001,0.001,0.001,0.0,0.003,0.014,0.003,0.0,0.0
24,24,24,rosehip seed oil,782.0,86.89,12.512,37.102,9.905,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.717,0.01,0.302,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0
25,25,25,linseed oil,836.4,92.928,19.143,36.707,31.224,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.396,0.021,0.058,0.001,0.0,0.002,0.002,0.004,0.002,0.002,0.006,0.0
26,26,26,cod liver oil homestyle,805.6,89.512,12.8,71.431,28.375,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,13.376,0.042,0.267,0.008,0.003,0.002,0.001,0.001,0.004,0.0,0.001,0.0
27,27,27,peanut oil refined,612.1,68.007,17.682,29.447,23.258,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428,0.013,0.176,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.002,0.0
28,28,28,safflower oil high linoleic,861.2,95.689,7.272,55.595,39.137,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,11.669,0.188,0.121,0.0,0.001,0.0,0.001,0.001,0.0,0.034,0.001,0.0
29,29,29,krill oil extra,798.2,88.687,15.432,26.163,41.594,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.939,0.067,0.853,0.001,0.0,0.005,0.002,0.004,0.001,0.005,0.001,0.0
30,30,30,rice bran oil refined,836.8,92.982,15.807,40.075,30.777,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.392,0.037,0.052,0.009,0.002,0.0,0.0,0.026,0.0,0.0,0.003,0.0
31,31,31,high oleic sunflower oil,676.9,75.208,14.44,23.164,16.471,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,25.284,0.057,0.042,0.001,0.0,0.001,0.0,0.0,0.004,0.0,0.002,0.0
32,32,32,walnut oil roasted,782.7,86.966,17.393,39.83,19.306,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.383,0.039,0.062,0.002,0.046,0.0,0.003,0.001,0.001,0.005,0.0,0.0
33,33,33,butter light,791.4,87.93,3.517,40.624,25.324,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,23.19,0.012,0.033,0.0,0.0,0.0,0.006,0.002,0.0,0.0,0.036,0.0
34,34,34,borage oil,888.7,98.743,9.973,32.585,16.688,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,27.036,0.026,0.229,0.001,0.001,0.0,0.004,0.0,0.0,0.0,0.032,0.0
35,35,35,maize germ oil chopped,900.0,100.0,32.2,41.5,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.286,0.015,0.048,0.001,0.005,0.0,0.0,0.0,0.001,0.021,0.0,0.0
36,36,36,truffle oil black,727.2,80.795,3.232,52.355,49.447,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.986,0.18,0.14,0.003,0.001,0.001,0.002,0.0,0.005,0.0,0.0,0.0
37,37,37,sunflower oil refined,809.6,89.954,9.085,34.272,36.521,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388,0.015,0.13,0.0,0.001,0.0,0.003,0.0,0.006,0.004,0.0,0.0
38,38,38,ghee organic,651.0,72.335,2.893,43.763,13.744,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,22.45,0.021,0.055,0.001,0.018,0.0,0.0,0.0,0.001,0.0,0.002,0.0
39,39,39,algae oil dha,869.4,96.595,10.239,54.866,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,48.157,0.118,0.036,0.013,0.0,0.0,0.001,0.001,0.011,0.0,0.005,0.0
40,40,40,avocado oil spray,740.1,82.231,3.289,7.812,31.741,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,5.32,0.062,0.07,0.0,0.003,0.0,0.004,0.002,0.0,0.005,0.003,0.0
41,41,41,soybean oil refined ancient grain,900.0,100.0,37.0,61.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,20.569,0.058,0.033,0.0,0.0,0.05,0.001,0.008,0.007,0.062,0.032,0.0
42,42,42,corn oil cold pressed,801.6,89.063,13.627,48.005,34.735,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.606,0.021,0.13,0.003,0.001,0.0,0.002,0.001,0.0,0.001,0.006,0.0
43,43,43,canola oil refined,741.5,82.384,12.605,57.257,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082,0.052,0.044,0.001,0.009,0.002,0.001,0.001,0.001,0.0,0.0,0.0
44,44,44,avocado oil cold pressed,715.3,79.483,3.179,24.004,33.78,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,11.047,0.009,0.018,0.0,0.0,0.0,0.013,0.001,0.003,0.007,0.0,0.0
45,45,45,pecan oil shredded,806.5,89.611,12.904,19.177,16.399,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,25.348,0.057,0.022,0.0,0.031,0.003,0.0,0.0,0.013,0.0,0.0,0.0
46,46,46,evening primrose oil,700.4,77.824,8.405,17.043,10.973,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,28.233,0.013,0.177,0.037,0.0,0.0,0.0,0.018,0.002,0.001,0.001,0.0
47,47,47,olive oil extra virgin baked,768.3,85.368,12.208,70.429,39.44,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.009,0.006,0.341,0.0,0.017,0.001,0.001,0.001,0.01,0.003,0.001,0.0
48,48,48,sunflower oil cold pressed,831.6,92.402,3.696,73.367,29.291,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,6.844,0.025,0.271,0.0,0.001,0.001,0.001,0.002,0.0,0.0,0.121,0.0
49,49,49,muscat grape oil premium,900.0,100.0,19.8,26.2,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.432,0.234,0.035,0.0,0.0,0.001,0.003,0.0,0.004,0.001,0.001,0.0
50,50,50,garlic infused oil,841.4,93.492,19.072,22.158,46.746,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,10.034,0.014,0.23,0.0,0.0,0.001,0.055,0.003,0.0,0.003,0.003,0.0
51,51,51,carthame oil,744.6,82.738,8.274,45.671,34.502,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.493,0.082,0.233,0.004,0.002,0.001,0.011,0.007,0.007,0.027,0.001,0.0
52,52,52,sunflower oil cold pressed extra,809.7,89.963,26.359,46.061,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.379,0.037,0.644,0.001,0.081,0.0,0.001,0.004,0.001,0.0,0.027,0.0
53,53,53,flaxseed oil refined,752.6,83.62,16.64,4.181,32.445,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.695,0.008,0.07,0.0,0.002,0.001,0.003,0.017,0.003,0.002,0.0,0.0
54,54,54,mct oil blend,850.3,94.483,25.888,45.635,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.055,0.004,0.104,0.0,0.001,0.0,0.0,0.001,0.0,0.01,0.004,0.0
55,55,55,avocado oil refined,833.3,92.585,12.777,29.349,55.551,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734,0.034,0.807,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
56,56,56,coconut cream oil,900.0,100.0,6.6,17.4,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.606,0.017,0.179,0.0,0.001,0.006,0.001,0.0,0.001,0.001,0.116,0.0
57,57,57,coconut cream oil original,900.0,100.0,22.5,39.3,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,8.445,0.099,0.143,0.001,0.003,0.004,0.0,0.0,0.002,0.0,0.0,0.0
58,58,58,grass fed ghee,784.0,87.111,20.384,24.217,37.371,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.132,0.058,0.069,0.001,0.0,0.003,0.002,0.0,0.001,0.002,0.003,0.0
59,59,59,maize germ oil instant,715.6,79.515,14.949,45.005,17.573,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,9.503,0.032,0.304,0.0,0.024,0.001,0.007,0.003,0.001,0.0,0.0,0.0
60,60,60,grass fed ghee chopped,787.8,87.534,21.533,72.741,45.08,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.661,0.041,0.173,0.001,0.0,0.001,0.001,0.027,0.002,0.0,0.009,0.0
61,61,61,truffle oil black natural,807.2,89.693,12.557,33.725,7.624,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.366,0.123,0.103,0.001,0.0,0.0,0.002,0.0,0.001,0.033,0.001,0.0
62,62,62,grapeseed oil,794.3,88.256,12.621,23.653,29.831,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.306,0.033,0.017,0.001,0.019,0.001,0.001,0.0,0.002,0.005,0.002,0.0
63,63,63,vegan butter grilled,791.6,87.953,33.07,53.651,10.466,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,16.413,0.008,0.14,0.001,0.001,0.005,0.007,0.007,0.001,0.0,0.0,0.0
64,64,64,whipped butter,900.0,100.0,7.5,50.9,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,5.922,0.042,0.143,0.005,0.001,0.013,0.002,0.001,0.0,0.0,0.001,0.0
65,65,65,coconut oil virgin,884.7,98.299,3.932,45.021,16.514,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.097,0.03,0.672,0.001,0.0,0.005,0.019,0.0,0.019,0.0,0.001,0.0
66,66,66,vegan butter processed,900.0,100.0,18.5,15.7,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.142,0.093,0.558,0.0,0.001,0.045,0.0,0.0,0.001,0.001,0.003,0.0
67,67,67,black cumin oil,825.4,91.707,25.403,37.508,45.303,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,7.743,0.296,0.032,0.003,0.0,0.0,0.019,0.001,0.0,0.001,0.0,0.0
68,68,68,peanut oil roasted variety 3,847.3,94.148,24.29,41.143,25.797,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.392,0.279,0.435,0.006,0.004,0.0,0.0,0.022,0.001,0.0,0.003,0.0
69,69,69,avocado oil cold pressed high protein,900.0,100.0,20.9,39.4,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,21.482,0.03,0.141,0.001,0.116,0.0,0.002,0.0,0.0,0.001,0.0,0.0
70,70,70,coconut cream oil select,733.3,81.48,4.074,20.94,22.407,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.357,0.015,0.035,0.004,0.002,0.002,0.002,0.001,0.0,0.001,0.005,0.0
71,71,71,black seed oil whole,831.2,92.356,13.022,28.815,29.184,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.516,0.539,0.063,0.002,0.011,0.001,0.006,0.001,0.0,0.001,0.002,0.0
72,72,72,argan oil culinary with garlic,809.3,89.927,4.766,39.568,20.234,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566,0.003,0.105,0.001,0.043,0.0,0.016,0.0,0.0,0.001,0.002,0.0
73,73,73,olive oil light ready to eat,698.3,77.594,5.742,21.882,34.762,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,9.136,0.248,0.085,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
74,74,74,coconut oil fractionated,866.5,96.278,20.315,46.406,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.307,0.004,0.18,0.002,0.004,0.001,0.001,0.0,0.003,0.002,0.0,0.0
75,75,75,brain octane oil,885.1,98.339,31.37,52.12,43.466,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782,0.092,0.157,0.001,0.328,0.0,0.077,0.0,0.001,0.002,0.008,0.0
76,76,76,walnut oil roasted sliced,900.0,100.0,4.0,70.5,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.288,0.042,0.064,0.523,0.001,0.02,0.003,0.001,0.001,0.0,0.0,0.0
77,77,77,soybean oil refined fortified,800.9,88.987,13.704,25.272,43.693,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,10.327,0.225,0.228,0.0,0.004,0.0,0.001,0.006,0.001,0.002,0.027,0.0
78,78,78,hazelnut oil roasted,715.8,79.534,11.532,25.61,17.736,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.443,0.013,0.192,0.003,0.012,0.0,0.001,0.0,0.001,0.042,0.0,0.0
79,79,79,carthame oil pureed,743.2,82.583,9.745,41.374,31.877,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.299,0.029,0.064,0.0,0.001,0.005,0.004,0.002,0.0,0.033,0.01,0.0
80,80,80,plant based butter,900.0,100.0,4.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273,0.181,0.125,0.0,0.0,0.003,0.006,0.001,0.088,0.0,0.001,0.0
81,81,81,algae oil dha enriched,828.0,91.999,23.736,39.652,43.424,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.023,0.033,0.237,0.009,0.0,0.0,0.006,0.0,0.001,0.004,0.001,0.0
82,82,82,brain octane oil traditional,600.7,66.739,3.537,38.175,34.638,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.678,0.11,0.066,0.006,0.0,0.001,0.0,0.0,0.006,0.0,0.001,0.0
83,83,83,rice bran oil refined standard,867.0,96.33,14.064,26.298,15.605,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,17.536,0.141,0.02,0.004,0.004,0.001,0.006,0.001,0.001,0.001,0.014,0.0
84,84,84,muscat grape oil salted,769.7,85.52,5.131,69.1,14.795,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,8.804,0.005,1.44,0.001,0.009,0.001,0.002,0.001,0.0,0.0,0.0,0.0
85,85,85,grape seed extract oil,701.9,77.986,19.808,42.892,28.699,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.178,0.051,0.061,0.002,0.001,0.001,0.036,0.0,0.011,0.002,0.0,0.0
86,86,86,palm oil red crude,737.3,81.921,11.551,39.322,45.958,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.92,0.052,0.043,0.01,0.0,0.006,0.0,0.0,0.0,0.001,0.002,0.0
87,87,87,linseed oil select,739.6,82.18,17.915,46.843,28.927,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.243,0.211,0.01,0.0,0.002,0.0,0.004,0.017,0.0,0.0,0.0,0.0
88,88,88,grape seed extract oil with olive oil,793.2,88.137,6.17,32.082,17.539,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,7.838,0.002,0.104,0.0,0.005,0.0,0.0,0.024,0.0,0.011,0.001,0.0
