,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
18,18,18,manchego aged,274.3,27.336,13.313,8.091,2.16,0.744,0.383,6.325,0.0,54.208,0.562,33.168,0.086,0.018,0.064,0.49,0.296,0.079,0.251,0.047,0.0,0.274,0.158,0.004,1300.0,0.051,0.167,29.61,0.008,154.885,60.408,0.004,2.097,363.609
19,19,19,smoked provolone,259.5,18.167,13.625,5.196,0.836,0.318,0.142,23.688,0.0,88.215,0.185,47.15,0.105,0.016,0.038,2.46,0.274,0.112,0.254,0.035,0.0,0.389,0.114,0.003,393.775,0.04,0.233,28.3,0.007,314.185,61.301,0.011,3.019,1176.563
20,20,20,reduced fat feta,331.6,26.282,13.351,8.226,2.024,3.7,0.906,20.057,0.0,32.202,0.155,49.968,0.135,0.019,0.026,0.163,0.849,0.106,0.311,0.082,0.0,0.294,0.222,0.001,632.919,0.093,0.335,32.745,0.007,235.59,93.904,0.016,4.321,802.176
21,21,21,gruyere aged with spices,116.6,7.723,5.792,2.023,0.317,0.445,0.251,11.34,0.0,62.24,0.208,27.639,0.061,0.037,0.015,0.12,0.221,0.086,0.03,0.058,0.0,0.166,0.27,0.007,878.214,0.026,0.089,40.587,0.01,351.956,98.801,0.017,2.326,1763.595
22,22,22,herbed brie organic,177.8,13.511,7.363,3.621,0.527,1.279,0.446,12.782,0.0,127.274,0.092,46.732,0.217,0.0,0.014,0.297,0.124,0.061,0.189,0.113,0.0,0.423,0.327,0.004,284.315,0.022,0.249,10.223,0.014,317.921,82.91,0.025,3.122,959.827
23,23,23,raclette,225.4,15.028,10.76,3.246,0.932,0.997,0.464,21.552,0.0,32.098,0.783,36.521,0.053,0.03,0.01,0.13,0.115,0.13,0.172,0.113,0.0,0.038,0.37,0.003,476.397,0.022,0.24,19.699,0.016,366.363,107.805,0.012,2.43,1325.997
24,24,24,romano wedge,266.1,20.995,9.007,4.262,1.365,1.075,0.434,18.203,0.0,71.388,0.326,31.774,0.094,0.01,0.03,0.102,0.418,0.124,0.326,0.089,0.0,0.758,0.301,0.0,263.702,0.021,0.203,24.141,0.006,377.149,68.544,0.01,1.237,908.471
25,25,25,manchego aged multigrain,171.9,11.345,5.275,2.507,0.805,5.823,2.906,11.628,0.0,65.809,0.269,43.602,0.05,0.021,0.259,0.37,0.444,0.065,0.297,0.113,0.0,0.121,0.381,0.004,377.426,0.044,0.297,24.974,0.002,261.668,88.359,0.014,3.41,945.585
26,26,26,herbed brie unsalted,271.3,19.673,9.168,5.685,1.22,2.295,1.301,21.266,0.0,75.485,0.431,24.712,0.113,0.022,0.026,0.144,0.146,0.153,0.296,0.08,0.0,0.205,0.203,0.005,386.289,0.032,0.154,16.524,0.008,382.522,78.712,0.036,1.598,1080.314
27,27,27,telemea,252.3,16.394,9.115,5.607,0.885,0.492,0.223,25.686,0.0,93.612,0.473,46.524,0.053,0.034,0.199,0.299,0.2,0.173,0.458,0.044,0.0,0.143,0.172,0.0,315.855,0.016,0.123,19.723,0.011,650.755,60.703,0.03,2.246,1444.496
28,28,28,quark plain,237.2,17.56,11.713,3.758,1.018,1.613,0.739,18.17,0.0,200.0,0.307,33.752,0.049,0.014,0.011,1.036,0.509,0.071,0.217,0.074,0.0,0.129,0.263,0.003,234.331,0.076,0.38,15.098,0.008,392.399,118.202,0.024,6.83,922.97
29,29,29,gouda light,229.5,16.476,8.568,3.312,0.577,3.522,1.043,16.776,0.0,67.104,0.446,47.507,0.604,0.015,0.012,0.922,0.352,0.192,0.358,0.049,0.0,0.321,0.311,0.005,644.352,0.057,0.317,31.057,0.013,327.368,107.611,0.035,1.662,1095.87
30,30,30,whole milk mozzarella,273.1,21.644,12.142,5.866,1.645,1.234,0.158,18.35,0.0,87.136,0.663,55.306,0.063,0.022,0.026,1.413,0.238,0.114,0.361,0.066,0.0,0.14,0.219,0.005,299.271,0.032,0.13,29.56,0.002,279.881,120.757,0.045,2.419,813.1
31,31,31,part skim mozzarella,207.4,13.637,10.228,2.7,0.082,0.888,0.174,20.272,0.0,85.501,0.521,33.487,0.029,0.029,0.038,0.369,0.629,0.046,0.147,0.039,0.0,0.193,0.224,0.003,596.236,0.014,0.344,19.343,0.016,401.426,125.656,0.022,3.127,1427.497
32,32,32,blue cheese crumbles,300.4,24.822,18.195,6.95,1.589,2.847,0.754,16.401,0.0,147.646,0.439,26.554,0.089,0.013,0.046,0.237,0.2,0.006,0.255,0.0,0.0,0.056,0.276,0.005,618.525,0.017,0.195,19.971,0.004,638.609,155.066,0.013,2.534,551.644
33,33,33,smoked mozzarella,229.4,19.977,7.911,5.154,0.719,1.014,0.771,11.388,0.0,82.662,0.319,42.581,0.245,0.029,0.021,0.238,0.354,0.12,0.39,0.079,0.0,0.463,0.146,0.006,551.923,0.104,0.131,33.888,0.011,269.715,78.51,0.012,3.091,702.127
34,34,34,smoked edam,352.3,23.378,12.694,6.289,2.174,1.559,0.636,33.928,0.0,63.711,0.65,29.818,0.065,0.003,0.03,0.671,0.196,0.179,0.177,0.016,0.0,0.239,0.305,0.006,397.488,0.057,0.196,18.619,0.014,454.347,45.466,0.042,4.985,1343.171
35,35,35,reblochon,176.3,13.165,8.426,3.884,0.724,0.802,0.317,13.641,0.0,107.847,0.624,35.035,0.148,0.0,0.063,0.099,0.209,0.044,0.171,0.095,0.0,0.138,0.235,0.003,634.685,0.031,0.072,27.97,0.008,187.786,80.73,0.043,3.824,1141.014
36,36,36,edam ball,221.5,15.12,8.543,3.84,1.391,1.553,0.941,19.806,0.0,67.609,0.385,36.429,0.076,0.02,0.041,0.417,0.361,0.096,0.308,0.0,0.0,0.416,0.235,0.005,117.505,0.105,0.186,28.865,0.005,447.216,59.055,0.01,6.51,1155.875
37,37,37,colby jack natural,225.5,16.363,10.178,5.138,0.982,1.494,1.316,18.054,0.0,58.296,0.508,46.405,0.194,0.032,0.038,0.16,0.566,0.043,0.33,0.037,0.0,0.19,0.233,0.004,617.432,0.079,0.245,18.047,0.015,563.249,54.129,0.023,3.55,1125.67
38,38,38,reduced fat cheddar,207.9,15.512,11.448,4.064,0.822,1.211,0.219,15.863,0.0,29.204,1.171,31.224,0.036,0.0,0.011,0.139,0.568,0.15,0.231,0.128,0.0,0.439,0.168,0.0,1300.0,0.013,0.035,28.181,0.022,608.893,132.572,0.023,3.831,1277.585
39,39,39,halloumi fresh,291.1,26.307,16.521,7.234,1.289,1.014,0.062,12.574,0.0,57.121,0.249,29.171,0.092,0.034,0.05,0.114,0.152,0.147,0.202,0.053,0.0,0.311,0.103,0.003,256.62,0.021,0.232,7.256,0.012,347.261,131.817,0.018,4.945,322.273
40,40,40,ricotta fat free,246.7,19.163,10.674,5.289,1.169,1.23,0.32,17.336,0.0,43.073,0.194,51.997,0.03,0.013,0.01,0.818,0.216,0.162,0.233,0.068,0.0,0.103,0.415,0.001,583.777,0.044,0.241,18.518,0.009,356.188,92.914,0.029,7.55,979.271
41,41,41,provolone sharp,184.7,13.621,6.307,3.623,1.389,3.208,2.361,12.326,0.0,45.493,0.633,51.027,0.059,0.018,0.011,0.178,0.181,0.039,0.303,0.037,0.0,0.241,0.044,0.004,758.523,0.009,0.237,29.821,0.004,683.319,123.307,0.009,2.431,1072.094
42,42,42,mozzarella sticks,289.0,23.796,14.468,7.067,0.761,0.514,0.194,18.192,0.0,38.183,0.289,47.889,0.192,0.026,0.007,0.311,0.459,0.107,0.532,0.072,0.0,0.233,0.169,0.003,463.299,0.046,0.296,13.712,0.003,167.914,128.917,0.007,0.852,751.377
43,43,43,brânză de burduf,271.5,21.86,16.395,5.902,1.465,1.131,0.661,17.566,0.0,51.894,0.528,40.574,0.047,0.03,0.017,0.219,0.327,0.055,0.303,0.06,0.0,0.477,0.247,0.003,752.568,0.069,0.256,20.083,0.003,228.58,85.846,0.01,2.277,778.105
44,44,44,cheshire crumbled,237.9,18.517,12.092,4.926,1.111,0.367,0.078,17.444,0.0,55.829,0.218,42.799,0.272,0.032,0.016,1.318,0.269,0.083,0.239,0.051,0.0,0.147,0.217,0.003,500.762,0.039,0.319,27.596,0.003,126.01,159.546,0.006,2.234,959.819
45,45,45,blue cheese crumbles frozen,145.3,10.027,4.211,2.978,0.652,0.254,0.074,13.499,0.0,72.984,0.185,39.467,0.079,0.026,0.023,0.184,0.455,0.092,0.297,0.032,0.0,0.14,0.112,0.003,1176.692,0.013,0.039,31.769,0.009,267.817,168.195,0.01,6.229,1904.799
46,46,46,organic camembert,324.6,25.263,13.92,9.549,0.96,1.436,0.948,22.875,0.0,130.987,0.459,31.973,0.116,0.013,0.15,0.446,0.208,0.109,0.165,0.031,0.0,0.523,0.134,0.001,653.887,0.061,0.272,27.968,0.006,198.187,211.841,0.012,2.205,944.864
47,47,47,ossau iraty,375.7,34.969,22.94,10.246,3.252,2.094,0.861,13.142,0.0,68.624,1.126,42.063,0.123,0.031,0.014,0.204,0.148,0.002,0.506,0.027,0.0,0.168,0.172,0.004,751.805,0.05,0.142,18.663,0.011,316.859,223.373,0.021,3.61,225.101
48,48,48,dry jack,308.7,25.074,17.978,6.996,0.602,0.812,0.239,19.947,0.0,80.441,0.946,38.17,0.102,0.037,0.025,3.206,0.332,0.012,0.375,0.071,0.0,0.561,0.267,0.003,271.092,0.026,0.115,15.356,0.013,682.59,121.815,0.006,3.122,641.015
49,49,49,monterey jack,351.4,32.743,17.648,8.611,1.637,1.771,0.666,12.419,0.0,74.003,0.264,34.5,0.143,0.016,0.112,0.291,0.28,0.147,0.158,0.007,0.0,0.059,0.326,0.002,1300.0,0.021,0.218,32.337,0.02,798.34,182.976,0.031,3.362,460.683
50,50,50,double cream brie,306.3,26.564,14.477,6.083,1.328,0.914,0.493,15.881,0.0,96.737,0.475,49.82,0.032,0.018,0.01,0.09,0.24,0.094,0.451,0.079,0.0,0.088,0.385,0.005,668.915,0.026,0.104,17.022,0.015,743.797,216.327,0.011,1.428,623.295
51,51,51,spreadable cheese light,232.1,19.314,8.17,5.524,0.908,0.461,0.232,14.109,0.0,45.97,0.223,15.022,0.078,0.038,0.105,0.277,0.185,0.123,0.2,0.069,0.0,0.369,0.323,0.003,451.588,0.018,0.117,18.188,0.012,504.399,66.926,0.043,2.183,850.75
52,52,52,light edam,255.6,17.809,9.35,2.654,1.211,1.014,0.419,22.827,0.0,77.658,0.176,33.768,0.151,0.007,0.027,0.135,0.316,0.098,0.138,0.095,0.0,0.111,0.119,0.003,887.96,0.016,0.206,23.431,0.013,375.594,83.234,0.008,2.61,1420.48
53,53,53,havarti plain,123.8,10.531,3.244,3.075,0.716,0.655,0.343,6.606,0.0,167.854,0.456,32.176,0.069,0.034,0.01,0.211,0.196,0.052,0.312,0.109,0.0,0.259,0.175,0.002,228.838,0.051,0.192,18.556,0.026,394.427,68.667,0.011,4.439,806.406
54,54,54,swiss emmental,324.5,19.049,8.686,6.019,0.705,2.294,0.713,35.965,0.0,113.847,0.469,44.822,0.118,0.012,0.011,0.912,0.211,0.08,0.204,0.073,0.0,1.041,0.093,0.003,1013.047,0.029,0.245,11.501,0.012,324.756,163.7,0.034,9.125,1810.841
55,55,55,manchego semicurado,298.3,24.051,15.224,6.734,1.034,1.005,0.436,19.465,0.0,115.948,0.246,47.119,0.229,0.019,0.002,0.246,0.478,0.099,0.2,0.045,0.0,0.392,0.255,0.003,416.212,0.024,0.108,32.923,0.008,569.522,213.968,0.03,2.015,745.856
56,56,56,goat cheddar,250.5,22.026,13.172,4.956,1.233,2.447,0.751,10.608,0.0,66.349,0.533,35.929,0.128,0.015,0.048,0.136,0.266,0.197,0.2,0.04,0.0,0.302,0.218,0.004,638.551,0.044,0.311,23.279,0.009,458.043,258.556,0.014,1.536,467.665
57,57,57,reduced fat cheddar classic,341.2,31.309,18.41,5.041,2.098,1.137,0.53,13.723,0.0,65.996,0.689,34.516,0.121,0.017,0.042,0.654,0.157,0.154,0.246,0.084,0.0,0.268,0.384,0.003,419.872,0.03,0.17,26.4,0.002,229.628,58.631,0.029,5.88,310.955
58,58,58,organic camembert frozen,206.2,17.084,9.96,4.681,1.247,1.385,0.824,11.731,0.0,77.084,0.504,46.008,0.009,0.027,0.01,0.092,0.323,0.169,0.286,0.089,0.0,0.726,0.331,0.006,724.638,0.031,0.04,18.032,0.006,834.064,91.581,0.016,3.294,784.884
59,59,59,young gruyere dried,218.3,18.397,13.798,4.397,0.993,0.544,0.151,12.632,0.0,58.899,0.348,32.461,0.026,0.019,0.004,0.735,0.261,0.027,0.269,0.037,0.0,0.258,0.334,0.0,529.6,0.027,0.267,21.706,0.006,308.065,67.165,0.032,2.527,634.585
60,60,60,herbed brie with olive oil,439.9,45.0,26.73,10.575,0.9,0.464,0.21,8.264,0.0,77.378,0.174,45.16,0.054,0.021,0.1,0.82,0.219,0.055,0.085,0.038,0.0,0.169,0.101,0.003,519.587,0.026,0.135,21.349,0.012,226.28,202.479,0.014,2.524,0.0
61,61,61,ossau iraty serving size small,290.0,25.648,15.979,8.156,1.436,1.491,0.255,13.306,0.0,63.347,0.441,36.335,0.072,0.001,0.012,0.431,0.271,0.049,0.427,0.034,0.0,0.434,0.243,0.002,1214.714,0.015,0.292,28.005,0.007,610.891,88.248,0.018,2.848,643.28
62,62,62,herbed edam,267.8,16.831,11.462,5.218,0.252,0.443,0.269,28.644,0.0,105.393,0.234,34.713,0.033,0.018,0.015,0.746,0.481,0.17,0.244,0.054,0.0,0.052,0.119,0.005,1121.474,0.014,0.141,19.789,0.011,253.178,123.619,0.011,2.482,1708.484
63,63,63,smoked edam enriched,282.4,23.654,14.216,5.866,1.135,0.961,0.334,16.41,0.0,133.442,0.63,35.636,0.14,0.017,0.065,0.538,0.237,0.122,0.143,0.026,0.0,0.077,0.214,0.006,1300.0,0.044,0.25,5.592,0.007,255.397,73.314,0.013,1.974,905.907
64,64,64,light brie,218.9,6.691,4.516,1.445,0.368,0.691,0.0,38.972,0.0,52.005,0.871,53.667,0.03,0.025,0.013,0.367,0.938,0.025,0.325,0.074,0.0,0.477,0.21,0.004,411.078,0.035,0.166,24.973,0.008,406.984,98.548,0.033,2.437,2848.928
65,65,65,manchego aged boiled,131.3,7.418,5.385,1.669,0.274,2.737,0.0,13.396,0.0,200.0,0.848,39.786,0.077,0.023,0.034,0.67,0.33,0.104,0.28,0.055,0.0,0.171,0.313,0.004,114.94,0.044,0.219,19.85,0.008,548.714,160.603,0.009,3.064,1407.701
66,66,66,bocconcini plain,205.7,11.073,5.116,2.646,0.742,1.633,0.89,24.89,0.0,77.667,0.306,41.455,0.152,0.028,0.066,0.705,0.298,0.154,0.297,0.034,0.0,0.176,0.126,0.002,465.145,0.019,0.169,4.851,0.011,350.169,66.462,0.024,3.995,1908.428
67,67,67,halloumi fresh artisan,171.5,8.057,4.222,1.869,0.25,1.068,0.371,23.689,0.0,22.03,0.659,28.086,0.084,0.023,0.078,0.14,0.055,0.109,0.48,0.097,0.0,0.237,0.151,0.005,307.303,0.04,0.251,28.482,0.024,409.485,77.532,0.015,1.032,2172.748
68,68,68,whipped ricotta,172.8,12.718,7.109,3.103,0.674,2.351,0.94,12.234,0.0,59.722,0.37,39.242,0.155,0.011,0.01,0.314,0.128,0.059,0.252,0.086,0.0,0.247,0.219,0.005,466.81,0.038,0.19,22.123,0.007,131.948,93.506,0.041,3.973,1009.125
69,69,69,blue cheese crumbles select,319.6,29.168,21.118,7.992,1.575,0.993,0.519,13.279,0.0,109.54,0.414,34.398,0.08,0.026,0.005,0.064,0.19,0.039,0.249,0.056,0.0,0.139,0.345,0.004,581.055,0.044,0.086,28.313,0.01,457.659,58.513,0.005,3.763,277.254
70,70,70,bocconcini traditional,250.7,21.727,11.081,4.932,1.586,3.215,0.707,10.564,0.0,82.561,0.369,42.825,0.052,0.018,0.021,0.179,0.362,0.074,0.277,0.03,0.0,0.026,0.181,0.008,740.192,0.03,0.174,20.18,0.013,218.243,174.571,0.025,3.58,553.767
71,71,71,young gouda,264.1,22.412,13.492,6.813,1.39,0.851,0.357,14.755,0.0,130.172,0.214,26.26,0.091,0.021,0.024,0.486,0.224,0.174,0.14,0.035,0.0,0.184,0.036,0.003,1147.503,0.03,0.223,9.919,0.007,301.224,85.312,0.037,3.304,841.584
72,72,72,tomme de savoie,223.5,10.326,6.454,3.046,0.754,0.653,0.155,31.99,0.0,31.994,0.391,41.731,0.176,0.019,0.015,0.452,0.165,0.204,0.139,0.066,0.0,1.009,0.201,0.003,418.169,0.027,0.337,2.305,0.018,198.016,87.518,0.011,3.355,2234.772
73,73,73,fromage frais,149.5,8.096,5.23,3.004,0.186,0.807,0.391,18.34,0.0,60.577,0.306,41.903,0.339,0.018,0.041,0.142,0.155,0.124,0.448,0.071,0.0,0.156,0.2,0.0,676.455,0.051,0.155,16.24,0.011,293.902,96.747,0.065,2.21,2049.969
74,74,74,limburger ripe,198.5,15.047,8.05,4.619,0.692,2.651,1.813,13.111,0.0,44.44,0.147,46.06,0.046,0.028,0.003,0.817,0.136,0.137,0.301,0.031,0.0,0.144,0.269,0.003,669.69,0.098,0.044,32.938,0.011,244.306,51.419,0.013,3.963,951.905
75,75,75,organic cheddar,199.2,16.888,12.666,3.327,0.844,1.493,0.861,10.301,0.0,48.617,0.094,39.592,0.113,0.024,0.069,0.17,0.351,0.16,0.122,0.07,0.0,0.134,0.192,0.004,391.895,0.02,0.203,11.302,0.005,459.29,56.304,0.024,3.151,470.55
76,76,76,young gruyere cooked,131.2,7.595,4.041,2.506,0.228,1.583,0.882,14.118,0.0,52.909,0.314,49.379,0.322,0.03,0.022,0.21,0.165,0.126,0.342,0.102,0.0,0.337,0.05,0.005,303.56,0.024,0.225,35.965,0.026,446.135,91.247,0.022,3.897,1654.366
77,77,77,smoked gouda,232.9,15.333,11.5,4.324,0.92,1.545,0.878,22.189,0.0,44.067,0.322,29.199,0.114,0.028,0.032,1.527,0.249,0.133,0.191,0.048,0.0,0.349,0.285,0.002,482.417,0.012,0.164,27.123,0.013,427.605,102.52,0.015,1.797,1286.515
78,78,78,roquefort classic,267.8,25.528,16.389,7.531,0.996,2.318,0.705,7.184,0.0,38.976,0.682,34.864,0.187,0.026,0.04,0.134,0.458,0.113,0.263,0.064,0.0,0.048,0.241,0.001,254.239,0.012,0.311,14.966,0.018,282.481,42.585,0.007,4.638,23.006
79,79,79,light brie roasted,267.6,16.65,9.074,4.629,0.999,2.862,0.939,26.58,0.0,30.917,0.351,40.082,0.037,0.01,0.028,0.385,0.254,0.062,0.277,0.032,0.0,0.408,0.304,0.0,314.144,0.012,0.135,19.332,0.003,242.061,60.533,0.017,2.588,1400.917
80,80,80,wensleydale plain,256.5,12.547,7.754,3.049,0.565,2.682,0.375,33.201,0.0,90.85,0.732,28.814,0.154,0.035,0.007,0.192,0.416,0.114,0.355,0.07,0.0,0.273,0.067,0.005,897.312,0.026,0.196,7.751,0.013,439.992,96.938,0.033,2.115,2115.552
81,81,81,red leicester,293.1,23.871,11.888,6.421,1.122,0.961,0.359,18.603,0.0,90.683,0.346,25.147,0.324,0.034,0.005,0.695,0.194,0.113,0.329,0.053,0.0,0.107,0.131,0.001,329.869,0.029,0.128,25.456,0.017,277.525,112.716,0.021,3.165,782.462
82,82,82,young fontina,272.7,18.697,12.602,5.497,0.467,2.044,0.505,24.068,0.0,61.149,0.678,36.325,0.189,0.044,0.009,0.133,0.291,0.136,0.277,0.104,0.0,0.069,0.269,0.002,1181.213,0.099,0.123,15.604,0.014,299.79,97.755,0.015,0.957,1386.869
83,83,83,cheese whiz classic,209.8,17.876,9.492,4.38,1.412,1.955,0.673,10.284,0.0,52.168,0.723,40.72,0.126,0.03,0.014,0.245,0.145,0.059,0.595,0.097,0.0,0.068,0.068,0.004,657.366,0.042,0.175,18.996,0.012,362.234,32.967,0.013,1.633,670.445
84,84,84,manchego curado,281.6,19.648,14.736,5.659,0.865,1.603,0.776,24.58,0.0,81.269,1.546,28.953,0.117,0.011,0.035,0.192,0.203,0.085,0.398,0.088,0.0,0.074,0.205,0.002,266.495,0.026,0.169,39.414,0.012,201.721,75.398,0.031,7.103,1049.132
85,85,85,smoked gouda fortified,128.0,8.145,3.356,2.965,0.472,1.654,0.0,12.012,0.0,60.101,0.548,45.394,0.036,0.021,0.008,0.491,0.16,0.08,0.2,0.08,0.0,0.397,0.177,0.003,242.333,0.025,0.195,40.966,0.004,628.668,164.613,0.018,6.023,1473.677
86,86,86,cream cheese classic,303.9,21.681,13.854,5.789,1.604,0.824,0.112,26.359,0.0,54.209,0.278,37.492,0.215,0.015,0.019,0.419,0.382,0.0,0.239,0.066,0.0,0.522,0.151,0.0,681.614,0.02,0.081,15.005,0.009,274.798,33.195,0.028,4.729,1205.624
87,87,87,stilton aged,318.0,24.932,12.117,6.482,1.247,1.792,0.453,21.601,0.0,62.511,0.592,49.647,0.141,0.028,0.022,1.236,0.307,0.057,0.44,0.081,0.0,0.14,0.152,0.004,630.303,0.034,0.231,33.6,0.015,377.733,160.104,0.007,3.05,946.561
88,88,88,double cream brie with olive oil,447.3,44.479,25.709,10.141,1.646,0.749,0.244,10.994,0.0,29.712,0.454,45.218,0.039,0.035,0.033,0.912,0.18,0.143,0.191,0.087,0.0,0.229,0.255,0.001,319.601,0.043,0.105,23.706,0.003,491.373,53.996,0.022,3.418,0.0
