,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
10,10,10,instant oats cooked,302.8,5.458,1.206,1.692,1.495,58.518,4.259,4.9,2.716,0.0,0.025,16.725,0.0,0.422,0.01,0.0,0.153,1.944,0.692,0.162,0.13,0.0,0.439,0.001,16.541,0.031,0.703,56.541,0.945,235.004,129.994,0.028,1.273,301.959
11,11,11,spelt cooked,360.2,7.368,1.474,1.105,2.881,63.907,6.611,9.567,2.564,0.0,0.002,8.581,0.001,0.081,0.018,0.0,0.088,3.413,0.83,0.236,0.408,0.0,1.785,0.001,15.729,0.12,0.648,55.326,1.482,228.449,128.262,0.025,2.454,409.262
12,12,12,amaranth flakes,401.2,2.464,0.414,0.638,0.978,90.0,9.728,4.758,4.186,0.0,0.004,12.822,0.004,0.346,0.019,0.0,0.138,0.816,0.499,0.22,0.345,0.0,0.665,0.023,69.453,0.223,6.244,34.908,1.31,71.396,104.513,0.025,0.989,488.051
13,13,13,pearl couscous cooked,227.5,1.533,0.385,0.411,0.48,45.898,1.28,7.539,4.711,0.0,0.006,15.032,0.001,0.293,0.022,0.0,0.081,1.557,0.555,0.249,0.299,0.0,1.402,0.01,6.373,0.696,0.901,18.847,0.757,165.205,204.273,0.019,1.205,815.489
14,14,14,farfalle cooked,186.3,0.688,0.122,0.144,0.357,39.531,1.276,5.486,0.396,0.0,0.011,9.492,0.001,0.16,0.009,0.0,0.062,2.983,0.806,0.088,0.244,0.0,2.077,0.008,60.1,0.213,6.279,102.325,6.335,145.219,178.968,0.059,3.063,1152.829
15,15,15,frosted flakes cereal,277.8,3.789,0.777,1.0,2.398,54.107,2.482,6.83,1.841,0.0,0.004,10.407,0.0,0.357,0.058,0.0,0.105,1.079,0.326,0.104,0.113,0.0,1.748,0.007,19.548,0.641,1.597,69.27,0.846,196.671,165.535,0.015,0.565,518.336
16,16,16,pancake plain cooked,332.6,2.042,0.515,0.553,1.027,70.812,3.74,7.731,3.061,0.0,0.006,9.899,0.002,0.12,0.024,0.0,0.137,2.938,0.253,0.069,0.108,0.0,0.111,0.011,74.72,0.079,0.808,47.069,3.644,135.778,114.647,0.023,1.368,469.698
17,17,17,blini buckwheat,270.8,2.4,0.562,0.773,0.943,56.644,3.559,5.664,2.795,0.0,0.009,9.147,0.002,0.131,0.032,0.0,0.043,0.484,1.199,0.079,0.064,0.0,1.229,0.0,40.46,0.106,0.475,95.62,1.615,162.709,126.938,0.014,1.48,410.557
18,18,18,amaranth popped,280.4,0.612,0.106,0.257,0.226,62.884,14.382,5.83,4.703,0.0,0.0,11.524,0.0,0.074,0.006,0.0,0.061,1.769,0.247,0.128,0.191,0.0,0.403,0.001,54.997,0.246,5.332,66.96,0.744,138.419,270.735,0.014,0.437,620.534
19,19,19,flour tortilla,260.0,1.362,0.287,0.327,0.459,53.039,4.327,8.895,2.745,0.0,0.005,1.51,0.001,0.324,0.004,0.0,0.071,3.479,0.628,0.171,0.265,0.0,0.631,0.004,9.084,0.258,1.114,51.574,1.243,174.373,248.203,0.039,1.228,655.918
20,20,20,pretzel hard,208.2,0.869,0.293,0.249,0.332,46.517,12.727,3.584,14.142,0.0,0.004,6.272,0.0,0.286,0.01,0.0,0.04,2.417,0.656,0.111,0.372,0.0,0.504,0.005,48.713,0.207,2.273,50.556,2.278,146.551,224.793,0.026,1.852,953.137
21,21,21,steel cut oats cooked,281.6,0.546,0.109,0.123,0.274,54.147,22.962,15.025,1.957,0.0,0.004,14.435,0.001,0.341,0.015,0.0,0.351,5.02,0.757,0.347,0.298,0.0,0.313,0.0,39.692,0.064,0.812,65.854,1.986,174.296,251.376,0.019,1.851,515.807
22,22,22,croissant butter,136.5,2.12,0.312,0.729,0.757,23.47,6.866,5.896,4.065,0.0,0.041,3.83,0.001,0.325,0.061,0.0,0.02,3.486,0.902,0.267,0.18,0.0,0.228,0.005,28.292,0.115,1.362,106.804,1.803,173.243,477.828,0.023,1.146,947.16
23,23,23,corn flakes cereal,238.9,1.449,0.255,0.358,0.872,50.311,1.662,6.148,7.499,0.0,0.023,16.195,0.01,0.139,0.016,0.0,0.018,3.819,0.4,0.204,0.0,0.0,2.014,0.0,27.519,0.414,0.936,97.924,4.195,241.213,80.305,0.082,1.308,825.724
24,24,24,flatbread,376.7,4.345,0.708,0.86,1.92,76.335,1.405,8.074,7.152,0.0,0.011,10.005,0.002,0.298,0.023,0.0,0.055,2.76,0.391,0.243,0.353,0.0,0.616,0.015,5.872,1.058,1.273,41.678,1.905,96.626,254.992,0.057,1.428,604.061
25,25,25,einkorn wheat,284.4,1.666,0.343,0.368,0.615,60.466,6.225,6.879,7.04,0.0,0.012,4.75,0.0,0.4,0.055,0.0,0.074,2.45,0.092,0.136,0.248,0.0,4.799,0.001,19.223,0.444,4.752,26.634,2.523,203.709,289.939,0.011,0.828,884.402
26,26,26,bread crumbs plain,209.0,2.545,0.204,0.428,0.412,37.006,2.29,9.513,3.055,0.0,0.017,11.364,0.003,0.08,0.024,0.0,0.016,1.398,0.827,0.093,0.074,0.0,1.421,0.005,8.086,0.155,1.206,29.518,1.871,149.296,107.312,0.022,0.693,949.334
27,27,27,jasmine rice cooked,193.0,3.844,0.792,1.315,0.607,29.752,2.353,9.838,3.035,0.0,0.008,10.288,0.003,0.173,0.037,0.0,0.063,2.002,1.176,0.12,0.0,0.0,0.445,0.03,7.603,0.464,4.317,94.181,1.982,86.967,418.055,0.056,1.397,1348.82
28,28,28,buckwheat flour,94.0,0.342,0.082,0.142,0.235,19.803,2.191,2.916,1.002,0.0,0.012,8.865,0.0,0.171,0.015,0.0,0.019,1.492,1.168,0.136,0.0,0.0,0.329,0.005,33.404,0.363,1.205,40.468,0.979,162.465,189.759,0.008,1.646,762.237
29,29,29,white rice flour,314.7,3.476,0.674,0.932,1.943,56.296,3.234,14.547,1.59,0.0,0.004,1.0,0.0,0.256,0.029,0.0,0.117,2.298,0.45,0.184,0.0,0.0,0.357,0.001,114.982,0.219,8.531,72.855,1.331,244.856,219.682,0.023,1.762,1292.833
30,30,30,low carb tortilla,428.1,12.936,2.432,3.984,5.951,68.001,3.845,9.93,4.301,0.0,0.011,16.34,0.001,0.215,0.017,0.0,0.064,2.355,0.327,0.187,0.19,0.0,0.989,0.001,28.746,0.135,2.074,80.831,1.916,290.82,378.913,0.072,0.624,495.505
31,31,31,kasha,228.2,2.565,0.351,0.539,0.741,44.388,3.957,6.886,1.193,0.0,0.021,14.439,0.0,0.419,0.025,0.0,0.178,2.465,0.933,0.108,0.262,0.0,0.385,0.002,77.633,0.125,1.632,48.015,1.073,125.563,254.704,0.018,1.418,601.738
32,32,32,whole grain bread,216.7,3.001,0.531,0.792,1.341,38.421,1.258,9.002,2.46,0.0,0.002,7.133,0.001,0.167,0.072,0.0,0.05,1.247,0.472,0.27,0.0,0.0,0.962,0.009,13.942,0.139,0.569,28.356,1.331,152.085,192.923,0.099,2.094,804.113
33,33,33,croissant butter variety 2,313.8,0.782,0.139,0.165,0.207,69.915,3.082,6.777,2.201,0.0,0.028,9.26,0.002,0.091,0.055,0.0,0.091,2.036,0.686,0.095,0.205,0.0,0.368,0.002,46.205,0.387,0.307,24.719,0.787,179.312,346.813,0.004,1.755,399.893
34,34,34,quinoa red cooked,245.6,0.701,0.147,0.28,0.241,51.691,1.77,8.143,8.952,0.0,0.01,3.313,0.001,0.203,0.011,0.0,0.124,1.924,0.22,0.146,0.0,0.0,0.785,0.002,66.596,0.65,2.917,44.051,1.585,208.071,244.458,0.024,1.807,1179.087
35,35,35,teff flour,176.0,2.454,0.201,0.925,1.026,33.309,7.236,5.167,1.34,0.0,0.036,8.467,0.009,0.309,0.021,0.0,0.057,3.741,0.506,0.218,0.0,0.0,0.167,0.001,45.532,0.177,9.557,61.996,3.958,204.798,282.339,0.036,1.216,1411.992
36,36,36,flour tortilla grilled,228.7,0.827,0.216,0.156,0.412,48.833,3.608,6.469,1.154,0.0,0.011,6.502,0.0,0.138,0.094,0.0,0.047,3.038,0.277,0.257,0.137,0.0,0.378,0.004,60.921,0.278,0.923,65.262,0.924,123.934,84.801,0.025,1.353,514.139
37,37,37,corn tortilla,277.7,2.094,0.429,0.672,0.915,48.808,2.332,15.901,4.821,0.0,0.002,1.0,0.001,0.073,0.141,0.0,0.108,2.527,0.996,0.151,0.154,0.0,0.354,0.016,11.114,0.311,1.685,157.881,1.281,108.294,138.715,0.01,0.715,1187.401
38,38,38,waffle homemade,323.6,1.506,0.318,0.345,0.663,71.75,7.551,5.768,2.193,0.0,0.012,9.833,0.0,0.337,0.02,0.0,0.086,4.717,0.705,0.306,0.172,0.0,0.267,0.003,17.838,0.286,1.35,29.553,3.366,125.849,202.033,0.036,1.076,307.556
39,39,39,linguine cooked,221.5,1.566,0.52,0.373,0.603,45.918,10.677,5.936,3.012,0.0,0.007,9.385,0.011,0.198,0.023,0.0,0.067,2.02,0.446,0.124,0.0,0.0,0.517,0.001,20.763,0.113,0.814,38.773,2.019,163.515,83.926,0.032,1.497,364.962
40,40,40,corn tortilla fortified,243.2,2.996,0.719,0.339,1.252,44.409,1.28,9.647,2.502,0.0,0.008,12.819,0.004,0.113,0.018,0.0,0.133,10.323,1.215,0.134,0.0,0.0,0.54,0.003,10.382,0.108,3.176,75.57,1.564,89.828,361.603,0.013,1.689,967.494
41,41,41,saltine crackers,293.0,4.93,1.232,0.823,2.021,55.36,7.433,6.809,4.242,0.0,0.014,10.191,0.001,0.263,0.051,0.0,0.099,3.348,0.365,0.221,0.247,0.0,0.417,0.001,14.692,0.146,0.93,62.605,0.847,51.947,142.593,0.032,2.783,428.885
42,42,42,teff porridge,259.9,3.379,1.081,0.963,0.804,53.729,2.233,3.647,1.528,0.0,0.016,14.64,0.004,0.249,0.016,0.0,0.135,2.177,0.385,0.216,0.274,0.0,0.188,0.012,16.417,0.209,1.25,88.05,1.461,157.218,242.365,0.021,0.793,313.595
43,43,43,pretzel nuggets,282.0,4.345,1.151,1.712,2.038,53.473,9.155,7.263,2.7,0.0,0.022,12.59,0.001,0.115,0.033,0.0,0.035,1.249,0.547,0.072,0.0,0.0,1.227,0.002,67.041,0.916,3.002,91.18,2.739,90.025,226.005,0.081,1.785,531.466
44,44,44,cheerios plain,205.7,2.999,0.69,1.149,1.832,24.133,1.013,20.55,3.854,0.0,0.005,12.736,0.001,0.069,0.007,0.0,0.058,5.554,0.575,0.134,0.341,0.0,0.454,0.001,22.127,0.147,1.189,128.901,1.688,92.22,209.899,0.011,1.869,1894.42
45,45,45,rigatoni cooked,185.7,0.607,0.152,0.222,0.137,36.862,1.335,8.209,10.306,0.0,0.003,8.06,0.001,0.291,0.047,0.0,0.057,1.939,1.288,0.103,0.283,0.0,0.831,0.004,25.77,0.11,0.573,55.417,1.777,340.736,139.335,0.026,2.092,1399.449
46,46,46,quinoa black cooked,210.4,1.896,0.294,0.55,0.815,41.617,6.587,6.717,1.099,0.0,0.04,3.827,0.0,0.074,0.005,0.0,0.177,1.136,1.406,0.164,0.273,0.0,2.708,0.002,6.665,0.457,2.897,44.214,0.968,122.835,101.45,0.037,1.354,654.968
47,47,47,granola plain,196.6,2.59,0.031,0.694,0.834,36.254,4.463,7.069,4.816,0.0,0.017,5.611,0.001,0.166,0.029,0.0,0.104,5.744,0.297,0.459,0.201,0.0,0.321,0.002,187.097,0.097,5.068,30.954,1.873,97.087,183.436,0.044,1.206,1325.533
48,48,48,mini bagel,310.6,1.535,0.282,0.224,0.431,67.643,1.5,6.56,0.72,0.0,0.001,9.304,0.001,0.182,0.044,0.0,0.049,3.417,0.346,0.14,0.107,0.0,0.416,0.002,15.926,0.199,1.136,22.158,2.433,116.219,159.5,0.069,2.884,407.444
49,49,49,crescent roll,252.8,1.285,0.136,0.384,0.452,54.203,5.553,6.114,3.762,0.0,0.003,10.772,0.004,0.466,0.034,0.0,0.145,5.682,0.161,0.183,0.0,0.0,1.379,0.004,21.347,0.193,1.386,49.614,0.889,189.995,216.053,0.014,1.863,545.846
50,50,50,graham crackers variety 5,239.6,1.928,0.397,0.665,0.952,49.578,5.318,5.986,5.508,0.0,0.014,12.488,0.0,0.18,0.022,0.0,0.109,6.197,0.132,0.133,0.037,0.0,2.935,0.0,23.427,0.119,0.261,63.839,1.369,295.806,455.628,0.051,1.948,559.082
51,51,51,pancake plain cooked steamed,246.4,2.68,0.155,0.434,1.235,52.299,12.751,3.262,1.31,0.0,0.006,5.276,0.006,0.265,0.032,0.0,0.311,6.53,0.833,0.157,0.0,0.0,0.282,0.007,11.481,0.321,1.567,56.765,1.413,92.243,158.243,0.026,2.353,91.008
52,52,52,ciabatta,306.7,1.324,0.209,0.436,0.593,66.94,2.867,6.754,4.789,0.0,0.01,1.31,0.0,0.172,0.011,0.0,0.038,2.551,1.412,0.069,0.171,0.0,0.123,0.002,13.287,0.292,2.574,20.731,1.15,189.79,165.58,0.009,0.518,650.613
53,53,53,barley grass,279.9,2.345,0.382,0.614,0.891,55.51,0.441,9.183,2.262,0.0,0.006,7.943,0.001,0.06,0.007,0.0,0.051,1.379,0.558,0.089,0.0,0.0,1.853,0.004,6.079,0.088,3.834,54.257,0.561,186.151,230.366,0.014,2.505,877.229
54,54,54,farro risotto,364.7,1.531,0.41,0.222,0.664,82.917,6.552,4.818,3.979,0.0,0.005,21.742,0.002,0.198,0.024,0.0,0.073,1.463,0.496,0.094,0.106,0.0,1.786,0.001,25.477,0.186,1.785,169.251,2.392,126.429,166.84,0.01,3.069,329.57
55,55,55,pretzel soft,408.4,1.241,0.338,0.294,0.431,90.0,2.289,9.313,1.78,0.0,0.032,12.917,0.0,0.348,0.039,0.0,0.033,3.34,0.303,0.177,0.089,0.0,0.453,0.0,48.719,0.548,2.273,68.202,1.588,223.309,156.722,0.018,3.461,498.202
56,56,56,waffle homemade pureed,284.2,3.819,0.722,0.978,0.966,50.942,5.933,11.516,1.541,0.0,0.005,7.674,0.004,0.096,0.005,0.0,0.04,1.822,0.663,0.151,0.0,0.0,0.486,0.001,24.564,0.043,3.671,49.984,1.902,110.731,297.024,0.019,1.272,833.072
57,57,57,teff porridge artisan,298.1,0.695,0.177,0.199,0.188,67.975,6.47,4.979,3.02,0.0,0.007,15.357,0.001,0.101,0.007,0.0,0.038,2.665,0.447,0.119,0.64,0.0,3.124,0.01,29.402,0.141,5.263,94.867,0.576,148.264,77.132,0.168,1.658,619.122
58,58,58,granola plain quick cook,226.5,0.879,0.054,0.294,0.449,51.163,2.785,3.488,1.062,0.0,0.015,11.031,0.001,0.434,0.054,0.0,0.06,4.303,1.1,0.404,0.128,0.0,0.353,0.001,5.237,0.29,3.734,19.882,1.396,287.555,272.879,0.037,0.831,559.669
59,59,59,multigrain bread,236.5,1.127,0.329,0.39,0.548,51.692,3.592,4.886,1.338,0.0,0.002,7.871,0.001,0.203,0.01,0.0,0.082,1.78,0.228,0.119,0.282,0.0,0.568,0.002,31.226,0.153,3.908,15.15,2.027,85.391,48.012,0.019,1.439,639.62
60,60,60,barley flour,174.2,3.405,1.042,0.858,1.226,26.831,7.69,9.065,3.044,0.0,0.004,3.602,0.005,0.373,0.008,0.0,0.078,1.809,0.404,0.189,0.145,0.0,0.33,0.004,15.702,0.213,0.981,35.033,1.552,339.641,124.073,0.016,1.361,851.08
61,61,61,spelt flour,216.1,0.713,0.186,0.171,0.276,43.343,1.421,9.075,1.459,0.0,0.001,8.095,0.002,0.685,0.004,0.0,0.029,2.313,0.914,0.202,0.015,0.0,0.664,0.001,8.881,0.258,2.875,107.326,6.654,187.524,186.059,0.03,1.573,976.097
62,62,62,pretzel hard prepared,326.3,5.481,0.696,1.754,1.924,61.837,15.599,7.398,3.465,0.0,0.023,12.529,0.0,0.148,0.008,0.0,0.014,1.958,2.992,0.15,0.0,0.0,1.225,0.0,120.149,0.725,3.903,51.002,1.792,134.402,179.697,0.2,0.874,454.974
63,63,63,emmer wheat,246.6,0.909,0.152,0.351,0.398,50.296,8.289,9.316,1.629,0.0,0.065,16.504,0.0,0.089,0.009,0.0,0.172,1.61,1.125,0.168,0.0,0.0,1.128,0.002,13.521,0.608,2.296,51.688,2.217,160.896,82.265,0.009,3.444,667.703
64,64,64,barley flour select,217.5,3.652,0.942,0.734,1.899,36.291,18.009,9.873,10.974,0.0,0.008,14.067,0.002,0.197,0.018,0.0,0.039,4.501,0.788,0.143,0.296,0.0,0.562,0.003,15.983,0.065,1.34,77.912,1.348,240.078,206.073,0.014,2.117,932.122
65,65,65,crepe thin,251.8,0.444,0.016,0.075,0.295,55.408,6.46,6.533,2.286,0.0,0.004,1.0,0.001,0.143,0.013,0.0,0.123,4.475,0.749,0.149,0.285,0.0,1.183,0.001,47.497,0.139,2.761,24.573,1.73,133.199,369.11,0.005,8.145,606.282
66,66,66,rice cakes plain,275.5,1.343,0.267,0.25,0.453,47.982,0.509,17.875,1.097,0.0,0.009,16.082,0.002,0.155,0.032,0.0,0.075,1.574,0.856,0.088,0.156,0.0,0.648,0.001,63.29,0.686,1.493,29.266,2.143,85.382,416.02,0.017,1.835,1194.952
67,67,67,rice crackers,290.8,4.93,0.991,1.78,2.292,51.516,11.665,10.083,4.174,0.0,0.019,12.676,0.001,0.161,0.026,0.0,0.079,1.824,0.151,0.12,0.084,0.0,2.322,0.001,11.431,0.072,2.484,65.79,1.561,96.915,255.877,0.029,3.031,633.633
68,68,68,pretzel soft classic,369.2,6.274,1.073,1.186,2.096,74.693,8.993,3.497,1.314,0.0,0.018,15.172,0.002,0.091,0.02,0.0,0.036,3.052,0.423,0.193,0.266,0.0,0.836,0.002,6.755,0.12,3.731,50.275,1.246,229.324,246.44,0.026,0.438,229.876
69,69,69,oat groats cooked,327.6,1.235,0.196,0.266,0.414,75.775,6.938,3.353,2.537,0.0,0.008,8.953,0.002,0.225,0.012,0.0,0.032,3.548,0.446,0.176,0.152,0.0,0.878,0.003,19.999,0.476,0.731,70.09,3.421,289.533,155.898,0.011,2.898,175.274
70,70,70,flour tortilla reduced fat,425.1,7.84,1.78,2.987,2.979,80.64,2.328,8.005,2.419,0.0,0.019,3.263,0.004,0.147,0.053,0.0,0.048,1.477,1.898,0.091,0.513,0.0,4.401,0.002,18.43,0.243,4.3,65.856,1.631,168.592,559.665,0.011,1.311,511.41
71,71,71,glass noodles cooked,268.7,3.449,0.469,0.817,1.552,52.129,0.996,7.294,2.529,0.0,0.016,11.199,0.004,0.378,0.043,0.0,0.031,3.139,0.099,0.152,0.025,0.0,0.64,0.002,29.758,0.111,0.793,27.058,2.024,290.133,134.84,0.017,2.883,579.139
72,72,72,angel hair cooked,191.9,1.567,0.472,0.768,0.492,26.111,5.444,18.338,1.224,0.0,0.009,8.689,0.001,0.206,0.025,0.0,0.057,2.269,0.984,0.044,0.214,0.0,0.465,0.002,81.003,0.276,2.506,55.379,1.022,179.732,293.787,0.012,2.105,1712.789
73,73,73,barley pearled cooked,300.8,1.757,0.0,0.564,0.864,63.451,3.18,7.805,2.508,0.0,0.005,16.531,0.001,0.186,0.012,0.0,0.107,1.333,0.448,0.092,0.14,0.0,0.752,0.002,31.665,0.212,1.447,29.264,1.377,398.359,87.363,0.021,2.56,557.344
74,74,74,steel cut oats cooked grilled,311.6,3.561,0.641,0.783,1.446,63.796,4.876,6.081,17.436,0.0,0.018,3.704,0.002,0.408,0.003,0.0,0.087,2.287,0.528,0.049,0.333,0.0,0.201,0.002,38.959,0.248,3.168,41.051,1.978,175.322,98.724,0.044,3.314,1088.853
75,75,75,bran flakes cereal,396.5,2.123,0.306,0.295,0.862,90.0,2.568,4.348,4.659,0.0,0.006,4.792,0.001,0.15,0.002,0.0,0.042,3.815,0.535,0.17,0.244,0.0,0.491,0.019,32.994,0.1,1.572,50.351,1.32,202.539,279.046,0.081,2.191,358.607
76,76,76,whole wheat bagel,378.7,5.94,1.372,1.764,1.057,77.088,12.186,4.227,1.581,0.0,0.001,14.309,0.002,0.162,0.047,0.0,0.118,2.813,0.38,0.041,0.0,0.0,0.804,0.002,72.167,0.165,1.242,28.065,0.569,153.037,250.428,0.014,1.563,87.471
77,77,77,pretzel nuggets with herbs,222.3,0.921,0.251,0.191,0.213,49.837,6.37,3.671,3.984,0.0,0.001,7.489,0.001,0.275,0.013,0.0,0.037,3.156,0.795,0.154,0.101,0.0,0.158,0.003,17.269,0.146,0.876,49.142,0.966,157.623,156.401,0.025,2.102,384.253
78,78,78,rice crackers canned,340.0,3.449,0.476,1.128,1.683,63.417,16.799,13.83,2.333,0.0,0.008,14.869,0.001,0.147,0.012,0.0,0.149,1.667,0.355,0.111,0.0,0.0,0.464,0.004,39.936,0.056,1.319,24.871,0.967,129.327,276.009,0.015,0.881,512.497
79,79,79,foxtail millet,197.3,1.627,0.189,0.268,0.786,40.275,23.016,5.39,2.42,0.0,0.013,15.834,0.002,0.176,0.009,0.0,0.093,4.497,0.565,0.171,0.15,0.0,0.309,0.001,36.477,0.274,0.984,35.794,1.389,102.054,516.273,0.035,0.73,0.0
80,80,80,bulgur cooked,193.0,1.084,0.159,0.401,0.462,40.266,1.92,5.551,9.629,0.0,0.003,14.086,0.001,0.08,0.019,0.0,0.088,1.524,0.266,0.164,0.094,0.0,0.598,0.001,11.418,0.058,0.209,60.559,1.579,95.7,312.421,0.027,2.588,1019.966
81,81,81,granola low fat,288.9,1.142,0.15,0.215,0.198,62.175,5.243,7.471,5.174,0.0,0.004,12.037,0.001,0.217,0.029,0.0,0.111,2.039,0.478,0.291,0.295,0.0,0.87,0.002,17.536,0.081,1.157,59.758,0.63,182.927,557.821,0.02,0.549,602.627
82,82,82,amaranth popped variety 2,164.4,1.637,0.349,0.506,0.73,30.936,1.545,6.489,7.54,0.0,0.004,22.036,0.001,0.381,0.071,0.0,0.045,3.074,1.45,0.115,0.0,0.0,0.304,0.006,61.104,0.1,2.369,76.334,2.641,91.721,110.63,0.046,2.22,1426.462
83,83,83,oat groats cooked plain,213.8,1.335,0.124,0.392,0.27,46.319,1.765,4.132,2.327,0.0,0.008,1.497,0.001,0.08,0.02,0.0,0.183,4.813,0.284,0.081,0.374,0.0,0.767,0.002,4.751,0.196,0.843,97.139,3.539,188.748,373.646,0.013,0.596,469.795
84,84,84,ramen cooked,275.0,2.155,0.429,0.711,0.856,56.939,0.85,6.968,2.994,0.0,0.023,8.206,0.002,0.089,0.008,0.0,0.037,6.772,0.816,0.195,0.0,0.0,0.518,0.002,14.253,0.04,2.594,42.914,0.864,134.713,160.477,0.05,3.335,697.834
85,85,85,barley hulled cooked,331.4,4.018,0.667,1.254,1.483,68.495,1.584,5.324,3.771,0.0,0.023,7.829,0.0,0.115,0.011,0.0,0.124,3.431,0.351,0.198,0.008,0.0,4.668,0.017,19.748,0.333,1.05,79.462,0.687,142.365,57.227,0.021,2.222,416.994
86,86,86,rice krispies,198.0,3.216,0.891,0.772,0.978,36.603,0.756,5.659,8.154,0.0,0.04,2.276,0.001,0.19,0.015,0.0,0.018,2.858,1.29,0.195,0.122,0.0,1.432,0.005,41.09,0.439,1.981,53.236,2.579,84.272,93.036,0.01,4.563,1110.501
87,87,87,whole wheat couscous,220.4,2.425,0.711,0.9,1.108,45.307,1.436,4.325,0.85,0.0,0.007,9.487,0.001,0.293,0.019,0.0,0.052,11.358,0.316,0.059,0.174,0.0,0.855,0.002,18.467,0.161,0.793,31.764,1.194,114.074,139.542,0.01,0.739,375.596
88,88,88,steel cut oats cooked with garlic,209.8,3.388,0.759,0.966,1.565,42.01,7.311,2.821,2.2,0.0,0.013,9.837,0.0,0.334,0.015,0.0,0.05,1.686,0.371,0.271,0.0,0.0,0.353,0.008,10.921,0.052,1.33,28.852,1.058,169.807,188.191,0.014,2.9,233.897
