,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
21,21,21,caramel macchiato premium,60.9,3.103,1.334,1.313,0.171,7.157,7.157,1.08,0.091,4.615,0.012,93.199,0.02,0.04,0.003,0.089,0.215,0.044,0.018,0.037,4.193,0.02,0.232,0.002,14.576,0.029,0.143,12.705,0.069,74.629,37.724,0.019,0.106,0.0
22,22,22,mezcal,44.1,0.412,0.208,0.111,0.059,9.411,7.388,0.686,0.065,1.309,0.005,90.405,0.008,0.024,0.003,0.151,0.018,0.228,0.014,0.005,3.467,0.057,0.011,0.001,57.682,0.009,0.073,9.627,0.036,15.808,102.67,0.002,0.023,0.0
23,23,23,water kefir,27.4,0.745,0.442,0.197,0.139,4.794,3.394,0.373,0.082,14.144,0.007,96.782,0.021,0.029,0.001,0.095,0.046,0.05,0.038,0.024,3.817,0.023,0.503,0.0,21.779,0.006,0.07,10.942,0.034,154.31,101.527,0.006,0.04,0.0
24,24,24,flat white frozen,9.8,0.367,0.176,0.061,0.036,1.152,0.895,0.473,0.047,3.652,0.031,98.357,0.008,0.018,0.039,0.024,0.004,0.172,0.034,0.03,1.57,0.006,0.168,0.001,5.854,0.02,0.174,17.408,0.087,34.878,71.073,0.0,0.035,861.461
25,25,25,whiskey bourbon,44.6,2.243,1.501,0.46,0.099,5.749,5.266,0.359,0.035,1.078,0.017,95.433,0.001,0.054,0.002,0.242,0.048,0.074,0.043,0.057,0.289,0.005,0.097,0.001,28.172,0.02,0.224,18.64,0.071,69.047,68.566,0.0,0.301,0.0
26,26,26,beer stout,5.8,0.076,0.021,0.027,0.001,1.197,1.172,0.08,0.016,3.552,0.006,91.674,0.004,0.017,0.005,0.209,0.024,0.111,0.109,0.002,0.508,0.002,0.107,0.008,21.593,0.021,0.138,10.65,0.065,96.158,125.098,0.003,0.008,0.0
27,27,27,latte whole milk,14.9,0.194,0.123,0.035,0.016,2.884,2.884,0.407,0.103,3.963,0.022,80.799,0.006,0.021,0.001,0.041,0.022,0.129,0.083,0.013,0.181,0.001,0.055,0.01,24.481,0.008,0.18,4.468,0.023,41.357,80.668,0.015,0.173,0.0
28,28,28,lime juice fresh fresh,42.3,3.772,2.32,1.407,0.041,1.283,0.819,0.816,0.077,1.861,0.028,78.24,0.002,0.01,0.001,0.11,0.012,0.024,0.096,0.008,4.521,0.001,0.118,0.0,13.391,0.023,0.037,1.523,0.047,6.961,104.558,0.001,0.169,32.134
29,29,29,pulp free orange juice,126.8,0.561,0.219,0.111,0.109,29.867,29.867,0.56,0.046,1.565,0.005,91.566,0.017,0.006,0.001,0.091,0.039,0.809,0.028,0.077,5.257,0.009,0.037,0.002,60.448,0.014,0.054,16.136,0.009,5.12,145.546,0.0,0.047,0.0
30,30,30,orange juice from concentrate,47.4,1.235,0.998,0.426,0.184,8.944,6.905,0.119,0.06,0.432,0.015,83.621,0.015,0.098,0.0,0.068,0.021,0.864,0.008,0.043,0.329,0.013,0.042,0.0,18.897,0.039,0.038,3.747,0.027,28.069,40.573,0.0,0.013,0.0
31,31,31,cranberry juice unsweetened,210.0,0.956,0.562,0.43,0.077,50.0,44.2,0.355,0.066,2.237,0.011,80.34,0.0,0.011,0.001,0.053,0.008,0.157,0.024,0.008,1.304,0.02,0.425,0.002,25.036,0.005,0.049,5.957,0.03,14.337,44.716,0.002,0.027,0.0
32,32,32,wine rose organic,77.6,0.322,0.077,0.064,0.074,18.199,15.032,0.465,0.027,1.949,0.021,85.275,0.003,0.027,0.004,0.004,0.035,0.168,0.656,0.039,1.653,0.005,0.237,0.005,75.187,0.017,0.066,7.484,0.058,10.59,77.155,0.001,0.165,0.0
33,33,33,guava juice,6.8,0.096,0.031,0.04,0.018,1.048,1.002,0.425,0.057,1.294,0.006,87.655,0.001,0.015,0.001,0.04,0.023,0.017,0.074,0.037,16.194,0.027,0.025,0.0,7.585,0.024,0.051,9.206,0.042,30.094,44.889,0.004,0.217,5182.176
34,34,34,apple cider fresh,50.6,0.156,0.102,0.02,0.021,11.941,9.804,0.352,1.087,3.418,0.004,94.286,0.0,0.023,0.005,0.019,0.009,0.286,0.026,0.02,7.934,0.006,0.052,0.005,144.585,0.024,0.151,7.693,0.063,16.001,96.011,0.0,0.192,0.0
35,35,35,sports drink powerade,33.6,0.153,0.031,0.029,0.047,7.431,7.007,0.617,0.283,2.731,0.02,93.526,0.029,0.004,0.012,0.012,0.064,0.167,0.04,0.008,0.23,0.018,0.148,0.007,9.52,0.037,0.458,12.135,0.028,7.666,38.392,0.003,0.027,0.0
36,36,36,ensure original homestyle,24.2,0.162,0.082,0.061,0.05,5.104,4.201,0.574,0.117,2.527,0.004,83.173,0.001,0.072,0.001,0.01,0.075,0.12,0.013,0.0,5.304,0.001,0.138,0.001,24.978,0.009,0.072,11.553,0.35,5.666,245.787,0.002,0.097,0.0
37,37,37,hot apple cider shredded,21.6,0.024,0.009,0.008,0.002,4.365,3.47,0.985,0.036,0.66,0.011,97.413,0.001,0.017,0.001,0.24,0.035,0.188,0.09,0.116,1.524,0.352,0.068,0.001,9.627,0.016,0.087,5.117,0.018,7.711,48.53,0.0,0.056,39.73
38,38,38,ensure original variety 2,78.4,0.991,0.412,0.195,0.042,15.736,13.36,1.641,0.123,0.94,0.014,98.741,0.004,0.159,0.0,0.039,0.013,0.016,0.556,0.013,3.878,0.005,0.174,0.004,14.69,0.028,0.019,3.51,0.052,30.462,62.122,0.006,0.049,0.0
39,39,39,tomato juice low sodium,59.0,0.25,0.119,0.092,0.03,10.569,8.92,3.616,0.213,0.432,0.006,89.352,0.011,0.032,0.019,0.182,0.038,0.097,0.043,0.004,1.291,0.032,0.13,0.0,26.121,0.05,0.115,5.577,0.01,14.967,163.17,0.001,0.006,218.842
40,40,40,mango juice,103.5,0.032,0.014,0.013,0.003,25.614,25.23,0.197,0.138,0.875,0.01,91.24,0.016,0.016,0.005,0.029,0.015,0.112,0.023,0.027,3.309,0.035,0.516,0.006,14.747,0.008,0.049,9.472,0.047,14.272,32.861,0.001,0.105,0.0
41,41,41,grapefruit juice fresh,52.1,0.514,0.355,0.177,0.091,10.876,9.538,1.003,0.023,3.027,0.018,87.636,0.008,0.077,0.021,0.096,0.05,0.053,0.097,0.027,0.234,0.002,0.051,0.001,24.686,0.009,0.077,16.934,0.013,22.015,50.759,0.001,0.036,0.0
42,42,42,lemon juice fresh,117.3,0.187,0.064,0.038,0.018,27.541,16.497,1.358,0.1,0.743,0.006,85.215,0.003,0.018,0.017,0.034,0.088,0.332,0.007,0.078,1.304,0.041,0.066,0.001,14.394,0.013,0.027,7.245,0.063,15.253,157.771,0.0,0.023,0.0
43,43,43,coconut water with pulp,43.5,0.194,0.097,0.05,0.055,9.475,8.025,0.952,0.068,3.819,0.033,88.105,0.002,0.085,0.001,0.045,0.122,0.455,0.698,0.011,1.301,0.001,0.07,0.002,3.133,0.013,0.082,13.2,0.012,20.664,76.894,0.001,0.052,0.0
44,44,44,cold brew coffee,35.1,0.52,0.171,0.19,0.084,6.468,6.468,1.135,0.248,0.188,0.02,88.537,0.007,0.009,0.097,0.016,0.012,0.166,0.014,0.017,7.807,0.006,0.077,0.001,17.399,0.008,0.285,4.669,0.047,30.808,100.505,0.002,0.219,104.442
45,45,45,tomato juice low sodium artisan,13.6,0.975,0.491,0.404,0.147,1.056,0.973,0.141,0.13,3.341,0.002,93.754,0.01,0.017,0.004,0.208,0.019,0.016,0.07,0.006,0.55,0.034,0.492,0.001,19.193,0.106,0.035,39.536,0.077,29.051,60.472,0.002,0.106,0.0
46,46,46,ginger tea,47.7,0.458,0.202,0.11,0.032,7.018,7.018,3.885,0.062,1.331,0.008,89.261,0.0,0.02,0.002,0.095,0.037,0.064,0.042,0.026,0.503,0.005,0.019,0.003,28.106,0.013,0.146,55.19,0.063,12.436,136.573,0.001,0.393,531.54
47,47,47,la croix lime,18.6,1.052,0.522,0.194,0.112,1.352,1.155,0.92,0.09,1.953,0.009,83.198,0.001,0.045,0.002,0.003,0.053,0.062,0.011,0.021,0.541,0.007,0.031,0.0,14.782,0.023,0.125,15.409,0.053,30.648,80.376,0.003,0.054,508.525
48,48,48,cappuccino,59.3,0.082,0.036,0.017,0.004,14.246,13.092,0.396,0.033,0.904,0.01,80.257,0.005,0.009,0.001,0.027,0.016,0.046,0.011,0.011,3.078,0.001,0.073,0.0,4.119,0.009,0.226,6.713,0.021,9.854,192.375,0.0,0.12,0.0
49,49,49,gin botanical,77.5,1.104,0.337,0.399,0.302,15.769,10.565,1.116,0.057,12.65,0.015,93.831,0.003,0.101,0.0,0.094,0.101,0.152,0.015,0.01,10.701,0.031,0.024,0.011,6.509,0.008,0.072,7.263,0.071,15.458,84.879,0.002,0.024,0.0
50,50,50,sports drink gatorade,29.0,0.891,0.363,0.297,0.144,3.689,3.125,1.568,0.148,3.851,0.006,94.19,0.075,0.031,0.001,0.036,0.037,0.04,0.017,0.011,0.357,0.079,0.181,0.009,34.927,0.02,0.09,8.279,0.009,22.995,77.074,0.001,0.024,362.695
51,51,51,beer pale ale,25.7,0.379,0.235,0.144,0.03,5.258,4.154,0.306,0.043,1.004,0.035,83.737,0.002,0.054,0.004,0.031,0.098,0.056,0.098,0.006,0.322,0.007,0.225,0.002,6.346,0.003,0.091,7.133,0.046,49.52,93.748,0.0,0.054,0.0
52,52,52,lemon juice fresh shredded,27.6,0.159,0.055,0.027,0.032,3.531,3.439,3.021,0.017,1.726,0.011,90.021,0.003,0.053,0.006,0.011,0.01,0.532,0.089,0.02,1.275,0.169,0.038,0.003,7.83,0.058,0.265,24.328,0.09,6.081,50.763,0.001,0.034,1302.261
53,53,53,jun kombucha,12.5,0.269,0.121,0.036,0.019,2.135,1.836,0.389,0.234,6.483,0.038,83.217,0.008,0.036,0.003,0.003,0.028,0.038,0.092,0.06,1.357,0.017,0.135,0.003,8.89,0.023,0.073,13.927,0.087,10.988,183.173,0.001,0.062,154.656
54,54,54,peppermint tea,68.3,1.505,0.936,0.745,0.105,11.525,10.084,2.172,0.211,1.004,0.037,90.831,0.003,0.124,0.001,0.263,0.061,0.09,0.038,0.014,11.767,0.033,0.62,0.005,26.174,0.064,0.027,21.915,0.016,15.819,102.802,0.004,0.084,0.0
55,55,55,beer ipa,28.2,0.163,0.104,0.047,0.023,6.636,6.636,0.04,0.06,3.072,0.033,82.266,0.43,0.006,0.004,0.019,0.014,0.263,0.017,0.013,1.295,0.001,0.197,0.001,15.14,0.029,0.202,4.294,0.176,68.443,111.03,0.011,0.066,0.0
56,56,56,peppermint tea grilled,32.9,0.274,0.172,0.119,0.043,6.937,4.454,0.66,0.05,2.232,0.005,86.39,0.005,0.034,0.001,0.044,0.051,0.049,0.071,0.002,0.983,0.02,0.221,0.015,77.727,0.02,0.21,1.427,0.051,169.379,52.921,0.001,0.17,0.0
57,57,57,guava juice enriched,13.5,0.365,0.114,0.059,0.06,2.435,1.631,0.124,0.03,0.896,0.006,92.838,0.001,0.028,0.002,0.269,0.01,0.105,0.02,0.008,1.925,0.014,0.047,0.001,22.923,0.029,0.057,4.564,0.194,21.623,37.779,0.001,0.042,0.0
58,58,58,jun kombucha original,23.0,1.566,0.711,0.423,0.222,1.798,1.696,0.433,1.295,4.029,0.013,85.442,0.037,0.015,0.024,0.025,0.048,0.026,0.012,0.022,2.1,0.013,0.034,0.005,6.139,0.018,0.113,3.588,0.099,12.555,116.068,0.001,0.074,589.353
59,59,59,wine port fortified,7.4,0.065,0.051,0.018,0.005,1.345,1.002,0.36,0.78,2.063,0.015,100.0,0.002,0.004,0.001,0.022,0.009,0.327,0.075,0.065,2.272,0.001,0.021,0.004,8.726,0.009,0.01,1.721,0.038,15.2,120.505,0.001,0.037,1911.092
60,60,60,americano,20.4,0.26,0.105,0.041,0.035,2.882,2.637,1.622,0.091,13.515,0.078,83.027,0.004,0.024,0.001,0.015,0.005,0.29,0.201,0.036,1.504,0.001,0.123,0.003,14.841,0.017,0.513,14.185,0.072,60.091,114.612,0.001,0.189,1217.514
61,61,61,black tea brewed,45.0,4.009,2.642,1.086,0.337,1.916,1.588,0.325,0.105,4.306,0.008,90.479,0.004,0.015,0.004,0.048,0.109,0.208,0.071,0.003,7.101,0.005,0.102,0.002,29.244,0.025,0.12,5.992,0.011,24.923,57.58,0.001,0.026,0.0
62,62,62,cider dry hard unsalted,31.5,0.122,0.066,0.022,0.018,6.291,3.083,1.297,0.221,0.431,0.041,91.668,0.002,0.082,0.003,0.022,0.035,0.3,0.065,0.008,2.971,0.01,0.029,0.003,6.945,0.011,0.016,4.06,0.084,13.245,81.837,0.0,0.01,355.416
63,63,63,wine red merlot instant,33.6,0.584,0.249,0.072,0.048,4.253,4.066,2.836,0.023,12.478,0.005,87.762,0.009,0.044,0.006,0.319,0.013,0.038,0.065,0.013,0.535,0.003,0.066,0.0,11.927,0.043,0.049,2.798,0.039,12.725,47.95,0.0,0.02,662.743
64,64,64,sports drink powerade unsalted,20.1,0.194,0.101,0.069,0.023,4.462,4.462,0.115,0.092,0.657,0.018,82.92,0.038,0.019,0.002,0.108,0.027,0.061,0.052,0.004,0.717,0.0,0.062,0.001,31.094,0.012,0.126,8.329,0.37,9.926,104.487,0.0,0.031,0.0
65,65,65,beer stout serving size small,62.4,0.334,0.211,0.109,0.026,14.438,14.351,0.411,0.344,0.463,0.01,86.64,0.002,0.014,0.002,0.031,0.065,0.184,0.007,0.027,4.824,0.011,0.032,0.003,9.654,0.082,0.047,9.504,0.188,41.881,175.939,0.0,0.044,0.0
66,66,66,cappuccino plain,28.5,1.258,0.497,0.239,0.235,2.81,2.175,1.483,0.058,5.2,0.038,98.494,0.002,0.046,0.001,0.089,0.037,0.136,0.031,0.051,15.439,0.009,0.054,0.004,10.765,0.027,0.165,3.053,0.056,27.475,39.585,0.0,1.051,1489.025
67,67,67,vegetable juice v8,41.2,0.287,0.142,0.087,0.05,9.458,8.172,0.206,0.398,2.277,0.022,92.225,0.012,0.006,0.002,0.174,0.074,0.068,0.049,0.018,0.167,0.007,0.192,0.005,59.76,0.009,0.217,6.613,0.111,27.253,43.369,0.001,0.072,0.0
68,68,68,mango juice fortified,101.0,0.775,0.475,0.071,0.16,21.865,17.689,1.64,0.084,1.84,0.032,93.962,0.008,0.019,0.0,0.082,0.011,0.054,0.042,0.046,4.473,0.004,0.056,0.008,19.428,0.015,0.08,4.672,0.049,13.279,126.136,0.002,0.059,0.0
69,69,69,white grape juice,22.4,0.577,0.124,0.182,0.065,3.721,3.39,0.577,0.059,1.69,0.004,100.0,0.001,0.006,0.001,0.003,0.107,0.063,0.008,0.022,9.054,0.067,0.077,0.001,27.099,0.033,0.237,10.72,0.028,26.049,27.631,0.001,0.03,608.211
70,70,70,cold brew coffee variety 3,23.0,0.593,0.39,0.155,0.122,0.43,0.328,3.985,0.021,0.472,0.012,95.758,0.006,0.016,0.001,0.079,0.056,0.029,0.075,0.033,4.498,0.019,0.34,0.01,9.911,0.024,0.11,8.424,0.024,67.174,158.843,0.0,0.02,3083.169
71,71,71,passion fruit juice,17.5,0.339,0.302,0.126,0.073,3.105,2.177,0.506,0.039,1.128,0.016,79.712,0.002,0.02,0.01,0.04,0.037,0.063,0.117,0.005,7.753,0.011,0.233,0.001,33.509,0.054,0.041,5.229,0.053,17.308,44.428,0.002,0.022,691.013
72,72,72,pineapple juice fresh,33.9,0.77,0.215,0.237,0.249,6.44,6.105,0.297,0.163,0.321,0.042,68.609,0.001,0.017,0.003,0.083,0.065,0.07,0.056,0.007,1.393,0.026,0.05,0.003,28.254,0.025,0.038,6.867,0.043,18.854,92.894,0.001,0.032,0.0
73,73,73,wine rose herbed,41.5,0.789,0.353,0.125,0.061,3.32,3.151,5.27,0.047,3.888,0.005,91.415,0.001,0.019,0.005,0.32,0.078,0.747,0.319,0.04,7.427,0.009,0.121,0.003,41.496,0.016,0.073,7.137,0.107,3.341,88.715,0.005,0.06,1994.884
74,74,74,matcha latte,12.6,0.076,0.051,0.014,0.007,2.509,1.643,0.466,0.131,0.708,0.035,100.0,0.034,0.01,0.002,0.481,0.01,0.085,0.205,0.031,1.192,0.113,0.164,0.002,11.399,0.02,0.091,19.227,0.054,29.378,53.837,0.004,0.119,307.771
75,75,75,sparkling water lemon,38.5,0.299,0.197,0.097,0.077,8.751,7.753,0.203,0.07,0.798,0.024,93.283,0.002,0.07,0.0,0.106,0.009,0.124,0.042,0.014,1.028,0.024,0.007,0.011,6.584,0.013,0.067,1.613,0.043,7.381,112.537,0.0,0.028,0.0
76,76,76,masala chai,23.6,0.702,0.197,0.198,0.175,3.823,3.517,0.5,0.558,5.93,0.022,86.285,0.017,0.006,0.0,0.037,0.013,0.018,0.126,0.009,12.236,0.09,0.029,0.001,21.563,0.016,0.273,8.213,0.048,72.105,69.074,0.003,0.015,1003.18
77,77,77,coconut water with pulp natural,215.4,1.402,1.026,0.247,0.362,50.0,31.15,0.693,0.061,1.022,0.003,96.512,0.028,0.01,0.002,0.003,0.021,0.061,0.047,0.003,0.828,0.045,0.338,0.0,2.915,0.008,0.069,20.647,0.057,22.029,67.011,0.001,0.026,0.0
78,78,78,vodka plain,17.2,0.142,0.055,0.051,0.014,3.7,2.579,0.279,0.048,3.279,0.085,85.064,0.004,0.059,0.001,0.034,0.024,0.028,0.057,0.035,1.522,0.025,0.025,0.021,10.256,0.006,0.316,5.466,0.14,9.338,33.962,0.001,0.008,0.0
79,79,79,beet juice,153.6,0.624,0.451,0.192,0.105,36.694,32.327,0.295,0.106,1.421,0.013,98.289,0.008,0.002,0.009,0.05,0.012,0.131,0.325,0.003,1.042,0.083,0.196,0.001,23.424,0.008,0.025,20.165,0.013,43.789,117.001,0.005,0.217,0.0
80,80,80,la croix lime variety 1,39.1,0.179,0.089,0.032,0.01,8.611,5.322,0.756,0.068,1.65,0.024,88.017,0.006,0.048,0.004,0.045,0.048,0.072,0.254,0.015,3.017,0.004,0.144,0.002,33.523,0.016,0.029,17.453,0.019,23.639,96.799,0.0,0.094,0.0
81,81,81,wheat beer,35.7,0.173,0.13,0.029,0.01,7.0,6.139,1.532,0.308,0.509,0.04,93.563,0.009,0.031,0.012,0.024,0.017,0.082,0.06,0.017,6.113,0.011,0.222,0.005,3.693,0.014,0.019,17.468,0.039,8.912,92.7,0.002,0.078,90.629
82,82,82,lemon juice fresh extra,18.2,0.188,0.07,0.074,0.04,3.654,3.157,0.475,0.013,6.242,0.081,73.561,0.0,0.023,0.004,0.053,0.034,0.08,0.137,0.005,2.936,0.006,0.467,0.001,27.077,0.006,0.084,7.141,0.013,20.853,51.445,0.001,0.044,0.0
83,83,83,la croix lime organic,12.8,0.238,0.147,0.043,0.016,2.416,1.665,0.236,0.224,16.608,0.017,80.364,0.004,0.006,0.003,0.045,0.053,0.016,0.066,0.006,10.806,0.116,0.106,0.002,46.098,0.028,0.05,6.252,0.02,162.071,119.083,0.0,0.043,1687.331
84,84,84,wine prosecco,15.7,0.212,0.09,0.06,0.0,2.914,2.162,0.532,0.216,8.644,0.057,81.265,0.005,0.052,0.015,0.034,0.013,0.175,0.041,0.002,3.546,0.05,0.038,0.001,24.499,0.044,0.246,6.258,0.015,9.155,121.803,0.0,0.083,725.09
85,85,85,gin botanical whole,14.2,0.298,0.126,0.084,0.073,2.376,1.568,0.504,0.074,4.407,0.023,100.0,0.023,0.002,0.005,0.101,0.036,0.094,0.059,0.015,0.49,0.031,0.478,0.0,23.863,0.026,0.133,3.389,0.052,19.121,168.48,0.0,0.425,287.679
86,86,86,beer light lager ready to eat,10.2,0.131,0.062,0.077,0.009,1.984,1.619,0.274,0.204,0.981,0.013,86.723,0.003,0.018,0.005,0.028,0.078,0.309,0.109,0.007,1.047,0.005,0.231,0.003,26.004,0.024,0.114,8.92,0.027,14.569,85.194,0.001,0.029,301.6
87,87,87,whiskey scotch,150.7,0.105,0.035,0.033,0.016,37.142,25.665,0.287,0.068,2.387,0.01,92.938,0.003,0.04,0.001,0.069,0.017,0.315,0.08,0.02,0.624,0.008,0.094,0.001,5.263,0.105,0.162,10.331,0.021,22.084,40.984,0.004,0.005,0.0
88,88,88,hot chocolate cocoa,11.3,0.205,0.089,0.045,0.008,1.822,1.771,0.536,0.03,2.649,0.019,75.097,0.002,0.063,0.003,0.319,0.005,0.155,0.203,0.012,3.042,0.011,0.115,0.0,16.457,0.058,0.045,11.209,0.058,15.331,114.191,0.002,0.164,521.996
